State,City,Program Name,ID,Uses Signals?,PD Gender,Region,Total Spots,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Notes
Georgia,Augusta,Medical College of Georgia Program,801211029,Participating,F,South Atlantic,3.0,,,,,,,,,,,,,,
Georgia,Roswell,Philadelphia College of Osteopathic Medicine Program,801200030,Participating,M,South Atlantic,2.0,,,,,,,,,,,,,,
Illinois,Chicago,Cook County Health and Hospitals System Program,801612030,Participating,M,East North Central,3.0,,,,,,,,,,,,,,
Illinois,Chicago,McGaw Medical Center of Northwestern University Program,801621031,Participating,F,East North Central,6.0,,,,,,,,,,,,,,
Illinois,Chicago,Rush University Medical Center Program,801611032,Participating,M,East North Central,2.0,,,,,,,,,,,,,,
Illinois,Chicago,University of Chicago Program,801611033,Participating,F,East North Central,3.0,,,,,,,,,,,,,,
Illinois,Chicago,University of Illinois College of Medicine at Chicago Program,801621034,Participating,F,East North Central,4.0,,,,,,,,,,,,,,
Illinois,Maywood,Loyola University Medical Center Program,801612135,Participating,F,East North Central,4.0,,,,,,,,,,,,,,
Illinois,Springfield,Southern Illinois University Program,801621118,Participating,M,East North Central,3.0,,,,,,,,,,,,,,
Indiana,Indianapolis,Indiana University School of Medicine Program,801721035,Participating,F,East North Central,4.0,,,,,,,,,,,,,,
Iowa,Iowa City,University of Iowa Hospitals and Clinics Program,801821036,Participating,M,West North Central,5.0,,,,,,,,,,,,,,
Kansas,Kansas City,University of Kansas School of Medicine Program,801911037,Participating,F,West North Central,5.0,,,,,,,,,,,,,,
Kentucky,Louisville,University of Louisville School of Medicine Program,802021038,Participating,F,East South Central,2.0,,,,,,,,,,,,,,
Louisiana,New Orleans,Louisiana State University Program,802121109,Participating,F,West South Central,6.0,,,,,,,,,,,,,,
Louisiana,New Orleans,Tulane University Program,802121108,Participating,F,West South Central,4.0,,,,,,,,,,,,,,
Maryland,Baltimore,Johns Hopkins University Program,802321040,Participating,M,South Atlantic,7.0,,,,,,,,,,,,,,
Maryland,Baltimore,University of Maryland Program,802321041,Participating,F,South Atlantic,2.0,,,,,,,,,,,,,,
Massachusetts,Boston,Boston University Medical Center Program,802421044,Participating,F,New England,5.0,,,,,,,,,,,,,,
Massachusetts,Boston,Mass General Brigham/Massachusetts General Hospital/Beth Israel Deaconess Medical Center/Brigham and Women’s Hosp Program,802431043,Participating,F,New England,10.0,,,,,,,,,,,,,,
Massachusetts,Boston,Tufts Medical Center Program,802421141,Participating,F,New England,4.0,,,,,,,,,,,,,,
Massachusetts,Worcester,UMass Chan Medical School Program,802421114,Participating,M,New England,4.0,,,,,,,,,,,,,,
